Tabla 1 — Par Origen 50 → Destino 500,,,,
Procesadores,tSecuencial (ms),tParalelo (ms),,
1,26,17,,
2,26,4,,
3,27,5,,
4,20,3,,
,,,,
Tabla 2 — Par Origen 300 → Destino 700,,,,
Procesadores,tSecuencial (ms),tParalelo (ms),,
1,30,4,,
2,61,8,,
3,44,5,,
4,51,5,,
,,,,
Tabla 3 — Promedios: Speedup y Eficiencia,,,,
Procesadores,tSecuencial (ms),tParalelo (ms),Speedup,Eficiencia
1,28.0,10.5,2.67,2.67
2,43.5,6.0,7.25,3.63
3,35.5,5.0,7.10,2.37
4,35.5,4.0,8.88,2.22
,,,,
Tabla 4 — Promedios: Tiempo Ahorrado,,,,
Procesadores,tSecuencial (ms),tParalelo (ms),Speedup,Tiempo Ahorrado (ms)
1,28.0,10.5,2.67,17.5
2,43.5,6.0,7.25,37.5
3,35.5,5.0,7.10,30.5
4,35.5,4.0,8.88,31.5
